17,0.011805556,1
27,0.01875,1
35,0.024305556,0
43,0.029861111,1
52,0.036111111,1
60,0.041666667,0
70,0.048611111,1
78,0.054166667,1
86,0.059722222,0
97,0.067361111,1
106,0.073611111,1
114,0.079166667,1
124,0.086111111,0
133,0.092361111,1
140,0.097222222,0
150,0.104166667,0
160,0.111111111,1
168,0.116666667,1
177,0.122916667,1
125,0.086805556,0
197,0.136805556,0
208,0.144444444,1
219,0.152083333,1
228,0.158333333,0
236,0.163888889,1
244,0.169444444,0
252,0.175,0
262,0.181944444,1
271,0.188194444,1
279,0.19375,1
287,0.199305556,1
295,0.204861111,0
305,0.211805556,1
313,0.217361111,0
321,0.222916667,1
330,0.229166667,1
339,0.235416667,0
348,0.241666667,1
356,0.247222222,1
365,0.253472222,1
372,0.258333333,1
382,0.265277778,1
389,0.270138889,1
397,0.275694444,0
408,0.283333333,1
417,0.289583333,0
430,0.298611111,0
439,0.304861111,1
448,0.311111111,1
456,0.316666667,1
