hr,min,sec,length
0,2,41,1
0,20,8,6
0,42,52,20
1,33,26,15
2,9,20,18
3,6,41,16
3,10,3,18
3,10,51,1
3,13,15,11
3,13,41,1
3,27,28,8
3,47,13,17
4,22,3,26
4,33,55,19
5,8,29,1
5,9,37,10
5,29,5,17
5,34,8,12
5,37,19,1
5,37,31,10
5,45,8,12
6,10,48,1
6,11,28,15
6,15,11,9
6,32,26,5
6,37,53,1
6,39,48,7
6,57,53,8
